,predicted_duration,actual_duration
4091,8.10201441508039,6.60383170085628
10173,16.440583995564587,37.32314831926734
12277,2.7565247746360293,2.7269553789605534
7121,2.602106819441878,4.3696995831536585
2720,4.445265816546541,4.632538655824555
4886,13.838477176122712,13.010534097209389
11403,4.014866835047949,3.2854884083862093
370,4.793527587835479,3.0226493357153124
9052,8.20715004414875,4.796813076243866
2468,3.265775477935892,5.552475410172693
10639,8.607979629971869,5.9138791350951765
1477,2.0501447668329944,2.168422349534898
3664,9.127086798496888,7.819462411959178
10570,7.671615433581799,5.65104006242428
3278,10.102876855787594,9.067948007145937
4560,6.695825376291094,2.3326967699542087
3105,1.7478798332614631,1.8398735086962772
6370,6.7319657487833435,7.293784266617385
4263,4.704819400809051,5.092507032998625
7114,7.122938869381301,7.819462411959178
11329,2.6021068194418775,2.6283907267089672
1457,4.366414094745272,3.5154725969732437
956,5.174644243208279,45.10975584714265
8836,10.362430440050106,10.67783732725518
1210,3.936015113246678,3.6140372492248303
5345,3.1047865459249677,3.219778640218485
1496,1.3864761083389805,1.6427442041931046
10382,4.635824144232941,5.486765642004969
10702,16.893981395921887,4.303989814985934
4918,30.48276145300725,15.934618780673114
6875,5.158216801166349,3.8111665537280026
1616,6.055155136655783,6.472412164520832
11803,7.780036551058545,5.6181851783404175
4374,3.4366208751719745,5.059652148914762
835,2.4674017946980435,1.0185014065997249
10213,21.654654099673504,7.720897759707592
12749,3.2460625474855744,4.501119119489107
9997,5.099078009815396,9.790755456990903
9149,2.17499332635167,3.0226493357153124
12283,12.097168319678023,10.18501406599725
2625,4.110145998891148,4.796813076243866
2939,10.408427277767512,7.129509846198074
5246,4.241565535226596,5.092507032998625
2951,1.5113246678576562,2.0370028131994498
8082,6.048584159839011,6.505267048604694
2972,9.202653031889772,8.410850325468695
9874,4.33355921066141,3.8111665537280026
2475,6.58740425881435,4.3696995831536585
375,12.49799790550114,4.3696995831536585
2019,14.856978582722439,14.718988069570218
10153,3.742171297151893,5.6181851783404175
3905,5.315920244768886,8.115156368713937
6423,5.220641080925686,5.059652148914762
12342,2.6908150064683047,3.5483274810571057
3751,3.3971950142713396,2.924084683463726
7150,13.88447401384012,13.339082938048008
5708,3.5384710158319472,3.3511981765539334
11289,11.706195199080064,9.626481036571592
9586,5.746319226267481,6.899525657611039
8370,4.29084786135239,6.242427975933797
2808,8.019877204870737,2.7269553789605534
12747,5.802172529210045,2.792665147128278
8721,4.908519682128997,4.665393539908417
11626,4.478120700630403,4.40255446723752
7313,5.67732396969137,3.186923756134623
4450,9.274933776874267,11.827758270190353
8439,1.8398735086962774,1.8398735086962772
8779,1.8694429043717526,2.069857697283312
7442,4.280991396127231,2.759810263044416
5382,54.5062526951272,29.07657241421795
4104,5.404628431795314,6.932380541694902
2515,3.7684552044189816,3.8768763218957267
4829,16.26973859832851,6.800961005359453
11201,17.5346516355572,11.46635454526787
5078,9.087660937596253,12.353436415532146
4217,2.316269327912277,2.20127723361876
4732,6.731965748783343,7.885172180126902
9603,3.2296351054436436,12.156307111028974
584,3.3610546417790923,2.891229799379864
5019,3.7947391116860723,0.9856465225158627
12505,5.844883878519066,5.125361917082486
3555,10.29672067188238,10.18501406599725
6267,3.656748598533851,10.546417790919731
2816,12.33372348508183,13.339082938048008
11887,12.649130372286903,10.513562906835869
1717,4.908519682128995,4.86252284441159
3218,10.336146532783014,93.73498429125854
8327,9.458921127743896,11.564919197519457
6591,7.967309390336557,7.293784266617385
3173,6.157005277315756,6.373847512269246
7782,5.145074847532803,4.3696995831536585
2367,5.194357173658597,4.106860510482761
11227,5.729891784225548,5.092507032998625
59,12.172734553070905,9.659335920655455
3054,4.323702745436251,4.829667960327727
9984,6.574262305180805,13.109098749460975
6134,6.446128257253743,6.899525657611039
8768,5.049795683689603,3.4497628288055195
7426,6.7516786792336605,6.702396353107867
10191,6.945522495328445,7.359494034785109
6181,4.225138093184666,3.186923756134623
12142,13.864761083389803,10.0535945296618
11678,5.7890305755765,6.308137744101521
9989,3.913016694387975,4.993942380747038
10848,4.192283209100802,5.092507032998625
4582,4.3598431179284995,3.5483274810571057
5435,5.4079139202037005,6.800961005359453
2777,5.759461179901025,11.696338733854905
2617,3.32819975769523,1.7084539723608287
9949,3.311772315653299,10.546417790919731
8618,22.801289554200288,15.113246678576562
2238,9.061377030329167,18.924413232304566
6319,5.81531448284359,7.326639150701246
587,1.7873056941620977,1.7084539723608287
10938,6.827244912626543,2.6612456107928293
9708,3.2559190127107334,1.6755990882769667
1072,2.312983839503891,3.942586090063451
9549,10.447853138668146,2.7269553789605534
10738,10.56613072137005,5.552475410172693
7429,3.2132076634017124,3.909731205979589
8739,12.376434834390848,11.729193617938767
10497,9.521345407503233,3.4169079447216575
2897,5.6576110392410515,4.3696995831536585
6470,10.135731739871456,10.349288486416558
2394,5.950019507587426,3.6468921333086923
12700,7.030945193946486,2.891229799379864
1370,4.077291114807285,4.041150742315037
4847,5.65104006242428,3.6797470173925544
6633,17.0812542351999,15.836054128421528
10096,1.869442904371753,1.7084539723608287
2371,2.230846629294236,3.1212139879668985
8106,3.3939095258629544,2.9569395675475882
6409,4.724532331259368,5.421055873837245
10363,4.8362389371445,2.792665147128278
5489,4.218567116367892,4.0740056263988995
10944,5.552475410172693,6.833815889443315
8132,10.09630587897082,16.920265303188977
11460,19.821351567793997,20.961416045504013
6101,14.43972155485739,21.224255118174913
8875,9.925460481734737,83.91137395018379
4278,4.980800427113493,10.874966631758353
2362,43.72985071562044,38.243085073615475
9075,4.793527587835479,6.373847512269246
9856,3.298630362019754,2.3326967699542087
8079,3.732314831926734,1.7413088564446908
